metro,state_code,metro_state_code,count,company_1_id,company_1_name,company_1_website,company_1_industry,company_1_linkedin_url,company_1_count,company_2_id,company_2_name,company_2_website,company_2_industry,company_2_linkedin_url,company_2_count,company_3_id,company_3_name,company_3_website,company_3_industry,company_3_linkedin_url,company_3_count,company_4_id,company_4_name,company_4_website,company_4_industry,company_4_linkedin_url,company_4_count,company_5_id,company_5_name,company_5_website,company_5_industry,company_5_linkedin_url,company_5_count,company_6_id,company_6_name,company_6_website,company_6_industry,company_6_linkedin_url,company_6_count,company_7_id,company_7_name,company_7_website,company_7_industry,company_7_linkedin_url,company_7_count,company_8_id,company_8_name,company_8_website,company_8_industry,company_8_linkedin_url,company_8_count,company_9_id,company_9_name,company_9_website,company_9_industry,company_9_linkedin_url,company_9_count,company_10_id,company_10_name,company_10_website,company_10_industry,company_10_linkedin_url,company_10_count
"ames, iowa",IA,"Ames, IA",58915,iowastateu,iowa state university accounting department,iastate.edu,higher education,linkedin.com/company/iowastateu,5886,mary-greeley-medical-center,mary greeley medical center,mgmc.org,hospital & health care,linkedin.com/company/mary-greeley-medical-center,317,mcfarland-clinic,mcfarland clinic pc,mcfarlandclinic.com,hospital & health care,linkedin.com/company/mcfarland-clinic,305,danfosspowersolutions,danfoss power solutions,powersolutions.danfoss.com,mechanical or industrial engineering,linkedin.com/company/danfosspowersolutions,298,workiva,workiva,workiva.com,computer software,linkedin.com/company/workiva,213,iowa-department-of-transportation,iowa department of transportation,iowadot.gov,government administration,linkedin.com/company/iowa-department-of-transportation,198,ames-community-schools,ames community schools,autobedrijfboks.nl,primary/secondary education,linkedin.com/company/ames-community-schools,177,ames-laboratory,ames laboratory,ameslab.gov,research,linkedin.com/company/ames-laboratory,173,john-deere,john deere,johndeere.com,machinery,linkedin.com/company/john-deere,139,city-of-ames-iowa,"city of ames, iowa",cityofames.org,government administration,linkedin.com/company/city-of-ames-iowa,135
"anchorage, alaska",AK,"Anchorage, AK",192867,anchorage-school-district,anchorage school district,asdk12.org,primary/secondary education,linkedin.com/company/anchorage-school-district,2748,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,2233,state-of-alaska,state of alaska,alaska.gov,government administration,linkedin.com/company/state-of-alaska,2159,united-states-air-force,united states air force,airforce.com,defense & space,linkedin.com/company/united-states-air-force,2097,university-of-alaska-anchorage,university of alaska anchorage,uaa.alaska.edu,higher education,linkedin.com/company/university-of-alaska-anchorage,1210,alaska-native-tribal-health-consortium,alaska native tribal health consortium (anthc),anthc.org,hospital & health care,linkedin.com/company/alaska-native-tribal-health-consortium,1018,southcentral-foundation,southcentral foundation,southcentralfoundation.com,hospital & health care,linkedin.com/company/southcentral-foundation,906,general-communication-corp,gci communication corp.,gci.com,telecommunications,linkedin.com/company/general-communication-corp,793,municipality-of-anchorage,municipality of anchorage,muni.org,government relations,linkedin.com/company/municipality-of-anchorage,793,conocophillips,conocophillips,conocophillips.com,oil & energy,linkedin.com/company/conocophillips,690
"ann arbor, michigan",MI,"Ann Arbor, MI",211610,university-of-michigan,university of michigan,umich.edu,higher education,linkedin.com/company/university-of-michigan,15945,michigan-medicine,michigan medicine,uofmhealth.org,hospital & health care,linkedin.com/company/michigan-medicine,5353,ford-motor-company,ford motor company,ford.com,automotive,linkedin.com/company/ford-motor-company,1839,eastern-michigan-university,eastern michigan university,emich.edu,higher education,linkedin.com/company/eastern-michigan-university,1810,university-of-michigan-medical-school,university of michigan medical school,medicine.umich.edu/medschool,higher education,linkedin.com/company/university-of-michigan-medical-school,1376,ann-arbor-public-schools,ann arbor public schools,aaps.k12.mi.us,education management,linkedin.com/company/ann-arbor-public-schools,1025,general-motors,general motors,gm.com,automotive,linkedin.com/company/general-motors,614,washtenawcc,washtenaw community college,wccnet.edu,higher education,linkedin.com/company/washtenawcc,460,washtenaw-county,washtenaw county,washtenaw.org,government administration,linkedin.com/company/washtenaw-county,458,domino's-pizza,domino's,dominos.com,restaurants,linkedin.com/company/domino's-pizza,433
"anniston, alabama",AL,"Anniston, AL",39163,jacksonville-state-university,jacksonville state university,jsu.edu,higher education,linkedin.com/company/jacksonville-state-university,904,anniston-army-depot,anniston army depot,None,defense & space,linkedin.com/company/anniston-army-depot,357,cable-one,cable one,cableone.net,telecommunications,linkedin.com/company/cable-one,231,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,163,bae-systems,bae systems,baesystems.com,defense & space,linkedin.com/company/bae-systems,144,honda-manufacturing-of-alabama-llc,"honda manufacturing of alabama, llc",hondaalabama.com,automotive,linkedin.com/company/honda-manufacturing-of-alabama-llc,126,northeast-alabama-regional-medical-center,northeast alabama regional medical center,rmccares.org,hospital & health care,linkedin.com/company/northeast-alabama-regional-medical-center,114,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,112,calhoun-county-schools,calhoun county schools,None,primary/secondary education,linkedin.com/company/calhoun-county-schools,74,kronospan,kronospan,kronospan-worldwide.com,paper & forest products,linkedin.com/company/kronospan,58
"appleton, wisconsin",WI,"Appleton, WI",84396,thedacare,thedacare,thedacare.org,hospital & health care,linkedin.com/company/thedacare,1328,thrivent,thrivent,thrivent.com,financial services,linkedin.com/company/thrivent,1001,kimberly-clark,kimberly-clark,careersatkc.com,consumer goods,linkedin.com/company/kimberly-clark,947,appleton-area-school-district,appleton area school district,aasd.k12.wi.us,primary/secondary education,linkedin.com/company/appleton-area-school-district,604,fox-valley-technical-college,fox valley technical college,fvtc.edu,higher education,linkedin.com/company/fox-valley-technical-college,481,lawrence-university,lawrence university,lawrence.edu,higher education,linkedin.com/company/lawrence-university,394,plexus,plexus corp.,plexus.com,electrical/electronic manufacturing,linkedin.com/company/plexus,364,millerwelders,miller electric mfg. llc,millerwelds.com,machinery,linkedin.com/company/millerwelders,361,j--j--keller-&-associates-inc-,"j. j. keller & associates, inc.",jjkeller.com,publishing,linkedin.com/company/j--j--keller-&-associates-inc-,300,secura-insurance,secura insurance,secura.net,insurance,linkedin.com/company/secura-insurance,296
"asheville, north carolina",NC,"Asheville, NC",193321,mission-health-systems-inc,mission health,mission-health.org,hospital & health care,linkedin.com/company/mission-health-systems-inc,2115,buncombeschools,buncombe county schools,buncombeschools.org,education management,linkedin.com/company/buncombeschools,2064,ingles-markets-inc-,"ingles markets, inc.",ingles-markets.com,retail,linkedin.com/company/ingles-markets-inc-,742,unc-asheville,unc asheville,unca.edu,higher education,linkedin.com/company/unc-asheville,691,biltmore,biltmore,biltmore.com,hospitality,linkedin.com/company/biltmore,647,eaton,eaton,eaton.com,electrical/electronic manufacturing,linkedin.com/company/eaton,539,department-of-veterans-affairs,u.s. department of veterans affairs,va.gov,government administration,linkedin.com/company/department-of-veterans-affairs,529,henderson-county-public-schools,henderson county public schools,henderson.k12.nc.us,education management,linkedin.com/company/henderson-county-public-schools,482,city-of-asheville,city of asheville,ashevillenc.gov,government administration,linkedin.com/company/city-of-asheville,379,haywood-county-schools,haywood county schools,haywood.k12.nc.us,education management,linkedin.com/company/haywood-county-schools,369
"athens, georgia",GA,"Athens, GA",117785,university-of-georgia,university of georgia,uga.edu,higher education,linkedin.com/company/university-of-georgia,7332,athens-regional-medical-center,piedmont athens regional,athenshealth.org,hospital & health care,linkedin.com/company/athens-regional-medical-center,961,clarke-county-school-district,clarke county school district,clarke.k12.ga.us,primary/secondary education,linkedin.com/company/clarke-county-school-district,864,athens-clarke-county,athens-clarke county unified government,athensclarkecounty.com,government administration,linkedin.com/company/athens-clarke-county,531,uga,uga,uga-studio.com,apparel & fashion,linkedin.com/company/uga,247,piedmont-healthcare,piedmont healthcare,piedmont.org,hospital & health care,linkedin.com/company/piedmont-healthcare,232,st--mary's-health-care-system,st. mary's health care system,stmarysathens.org,"health, wellness and fitness",linkedin.com/company/st--mary's-health-care-system,220,telenet-marketing-solutions,telenet marketing solutions,telenetmarketing.com,marketing and advertising,linkedin.com/company/telenet-marketing-solutions,192,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,191,caterpillar-inc,caterpillar inc.,caterpillar.com,machinery,linkedin.com/company/caterpillar-inc,182
"atlanta, georgia",GA,"Atlanta, GA",3965051,delta-air-lines,delta air lines,delta.com,airlines/aviation,linkedin.com/company/delta-air-lines,19245,the-home-depot,the home depot,careers.homedepot.com,retail,linkedin.com/company/the-home-depot,16750,at&t,at&t,att.com,telecommunications,linkedin.com/company/at&t,16691,emory-healthcare,emory healthcare,emoryhealthcare.org,hospital & health care,linkedin.com/company/emory-healthcare,10799,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,10295,wellstar-health-system,wellstar health system,wellstar.org,hospital & health care,linkedin.com/company/wellstar-health-system,10080,centers-for-disease-control-and-prevention,centers for disease control and prevention,cdc.gov,government administration,linkedin.com/company/centers-for-disease-control-and-prevention,9878,georgia-institute-of-technology,georgia institute of technology,gatech.edu,higher education,linkedin.com/company/georgia-institute-of-technology,9498,northside-hospital,northside hospital,northside.com,hospital & health care,linkedin.com/company/northside-hospital,9333,gwinnett-county-public-schools,gwinnett county public schools,gcpsjobs.org,primary/secondary education,linkedin.com/company/gwinnett-county-public-schools,9268
"atlantic city, new jersey",NJ,"Atlantic City, NJ",78237,atlanticare,atlanticare,atlanticare.org,hospital & health care,linkedin.com/company/atlanticare,1434,borgata-hotel-casino-&-spa,borgata hotel casino & spa,theborgata.com,hospitality,linkedin.com/company/borgata-hotel-casino-&-spa,789,caesars-entertainment-inc,"caesars entertainment, inc.",caesars.com,hospitality,linkedin.com/company/caesars-entertainment-inc,749,stocktonuniversity,stockton university,stockton.edu,higher education,linkedin.com/company/stocktonuniversity,591,cisco,cisco,cisco.com,computer networking,linkedin.com/company/cisco,562,faa,federal aviation administration,faa.gov,aviation & aerospace,linkedin.com/company/faa,404,atlanticcape,dean of institutional development,atlantic.edu,higher education,linkedin.com/company/atlanticcape,252,atlantic-city-board-of-education,atlantic city board of education,acboe.org,primary/secondary education,linkedin.com/company/atlantic-city-board-of-education,235,shore-memorial-hospital,shore medical center,shoremedicalcenter.org,hospital & health care,linkedin.com/company/shore-memorial-hospital,224,tropicana-atlantic-city,tropicana atlantic city,tropicana.net,gambling & casinos,linkedin.com/company/tropicana-atlantic-city,170
"auburn, alabama",AL,"Auburn, AL",76394,auburn-university,auburn university,auburn.edu,higher education,linkedin.com/company/auburn-university,5825,east-alabama-medical-center,east alabama medical center,eamc.org,hospital & health care,linkedin.com/company/east-alabama-medical-center,812,auburn-city-schools,auburn city schools,agrobioperigord.fr,libraries,linkedin.com/company/auburn-city-schools,311,tuskegee-university,tuskegee university,tuskegee.edu,higher education,linkedin.com/company/tuskegee-university,274,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,218,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,194,city_of_auburn_al,"city of auburn, al",auburnalabama.org,government administration,linkedin.com/company/city_of_auburn_al,184,aflac,aflac,aflac.com,insurance,linkedin.com/company/aflac,150,afni,"afni, inc.",afni.com,outsourcing/offshoring,linkedin.com/company/afni,142,auburn-university-raymond-j.-harbert-college-of-business,auburn university raymond j. harbert college of business,None,None,linkedin.com/company/auburn-university-raymond-j.-harbert-college-of-business,141
"augusta, georgia",GA,"Augusta, GA",225021,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,4123,savannah-river-national-lab,savannah river nuclear solutions,savannahrivernuclearsolutions.com,research,linkedin.com/company/savannah-river-national-lab,1773,augusta-university-careers,augusta university,augusta.edu,higher education,linkedin.com/company/augusta-university-careers,1618,adp,adp,adp.com,human resources,linkedin.com/company/adp,1409,aug-health,augusta university health,augustahealth.org,hospital & health care,linkedin.com/company/aug-health,1069,augusta-university,augusta university,None,higher education,linkedin.com/company/augusta-university,774,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,767,columbia-county-board-of-education,columbia county board of education,None,primary/secondary education,linkedin.com/company/columbia-county-board-of-education,693,medical-college-of-georgia,medical college of georgia at georgia regents university,None,higher education,linkedin.com/company/medical-college-of-georgia,684,university-health-care-system,university health care system,universityhealth.org,hospital & health care,linkedin.com/company/university-health-care-system,663
"austin, texas",TX,"Austin, TX",1540251,dell,dell technologies,delltechnologies.com,information technology and services,linkedin.com/company/dell,16176,theuniversityoftexasataustin-,the university of texas at austin,utexas.edu,higher education,linkedin.com/company/theuniversityoftexasataustin-,15048,apple,apple,apple.com,consumer electronics,linkedin.com/company/apple,9342,aisd,austin independent school district,austinisd.org,primary/secondary education,linkedin.com/company/aisd,6536,city-of-austin,city of austin,austintexas.gov,government administration,linkedin.com/company/city-of-austin,5954,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,5246,ibm,ibm,ibm.com,information technology and services,linkedin.com/company/ibm,5033,heb,heb,heb.com,retail,linkedin.com/company/heb,4940,texas-state-university,texas state university,txstate.edu,higher education,linkedin.com/company/texas-state-university,4839,tesla-motors,tesla,tesla.com,automotive,linkedin.com/company/tesla-motors,4203
"bakersfield, california",CA,"Bakersfield, CA",254524,kern-county,kern county,co.kern.ca.us,government administration,linkedin.com/company/kern-county,2345,kern-high-school-district,kern high school district,khsd.k12.ca.us,education management,linkedin.com/company/kern-high-school-district,1736,bakersfield-city-school-district,bakersfield city school district,bcsd.com,primary/secondary education,linkedin.com/company/bakersfield-city-school-district,1131,chevron,chevron,chevron.com,oil & energy,linkedin.com/company/chevron,1109,california-state-university-bakersfield,"california state university, bakersfield",csub.edu,higher education,linkedin.com/company/california-state-university-bakersfield,1030,bakersfieldcollege,bakersfield college,bakersfieldcollege.edu,higher education,linkedin.com/company/bakersfieldcollege,840,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,800,aera-energy-llc,aera energy llc,aeraenergy.com,oil & energy,linkedin.com/company/aera-energy-llc,799,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,780,kern-county-superintendent-of-schools,kern county superintendent of schools,None,education management,linkedin.com/company/kern-county-superintendent-of-schools,772
"baltimore, maryland",MD,"Baltimore, MD",1880741,johns-hopkins-university,johns hopkins university,jhu.edu,higher education,linkedin.com/company/johns-hopkins-university,7907,johns-hopkins-hospital,johns hopkins hospital,None,hospital & health care,linkedin.com/company/johns-hopkins-hospital,7242,northrop-grumman-corporation,northrop grumman,northropgrumman.com,defense & space,linkedin.com/company/northrop-grumman-corporation,7054,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,6332,baltimore-county-public-schools,baltimore county public schools,bcps.org,primary/secondary education,linkedin.com/company/baltimore-county-public-schools,5930,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,5557,baltimore-city-public-schools,baltimore city public schools,baltimorecityschools.org,education management,linkedin.com/company/baltimore-city-public-schools,5124,united-states-department-of-defense,united states department of defense,defense.gov,military,linkedin.com/company/united-states-department-of-defense,4767,state-of-maryland,state of maryland,jobaps.com,government administration,linkedin.com/company/state-of-maryland,4601,t--rowe-price,t. rowe price,troweprice.com,investment management,linkedin.com/company/t--rowe-price,4238
"bangor, maine",ME,"Bangor, ME",69221,university-of-maine,university of maine,umaine.edu,higher education,linkedin.com/company/university-of-maine,2062,northernlightheasternmainemedicalcenter,eastern maine medical center,emmc.org,hospital & health care,linkedin.com/company/northernlightheasternmainemedicalcenter,1252,northern-light-health,northern light health,None,hospital & health care,linkedin.com/company/northern-light-health,786,bangor-savings-bank,bangor savings bank,bangor.com,banking,linkedin.com/company/bangor-savings-bank,429,stateofmaine,state of maine,maine.gov,government administration,linkedin.com/company/stateofmaine,356,husson-university,husson university,husson.edu,higher education,linkedin.com/company/husson-university,352,hannafordsupermarkets,hannaford supermarkets,hannaford.com,supermarkets,linkedin.com/company/hannafordsupermarkets,185,penobscot-community-health-care,penobscot community health care,pchc.com,hospital & health care,linkedin.com/company/penobscot-community-health-care,183,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,169,athenahealth,athenahealth,athenahealth.com,information technology and services,linkedin.com/company/athenahealth,151
