metro,origin,destination,duration
"Altoona, PA", "DelGrosso’s Amusement Park and Laguna Splash Water Park","World Famous Horseshoe Curve",1826
"Altoona, PA", "Penn State Altoona","Vor-Tech Management LLC",585
"Altoona, PA", "Vor-Tech Management LLC","DelGrosso’s Amusement Park and Laguna Splash Water Park",821
"Amarillo, TX", "The Big Texan Steak Ranch & Brewery","Rick Husband Amarillo International Airport",506
"Amarillo, TX", "American Quarter Horse Association","Texas Tech School of Med",638
"Amarillo, TX", "Wonderland Amusement Park","The Big Texan Steak Ranch & Brewery",971
"Amarillo, TX", "Texas Tech School of Med","Rick Husband Amarillo International Airport",1239
"Amarillo, TX", "Rick Husband Amarillo International Airport","Wonderland Amusement Park",1211
"Ames, IA", "Reiman Gardens","Ames Municipal Airport",434
"Ames, IA", "Skunk River Bridge","Iowa State University",1057
"Ames, IA", "Centennial Park","Reiman Gardens",826
"Ames, IA", "Iowa State University","Ames Municipal Airport",693
"Ames, IA", "Ames Municipal Airport","Centennial Park",656
"Anchorage, AK", "Kincaid Park","Bryant Army Airfield",2165
"Anchorage, AK", "Alaska Native Heritage Center","University of Alaska Anchorage",832
"Anchorage, AK", "Anchorage Museum","Kincaid Park",1243
"Anchorage, AK", "University of Alaska Anchorage","Bryant Army Airfield",1069
"Anchorage, AK", "Bryant Army Airfield","Anchorage Museum",997
"Ann Arbor, MI", "Ann Arbor Hands-On Museum and Leslie Science & Nature Center","Ann Arbor Municipal Airport (ARB)",868
"Ann Arbor, MI", "Domino’s Farms Petting Farm","University of Michigan",1035
"Ann Arbor, MI", "Matthaei Botanical Gardens","Ann Arbor Hands-On Museum and Leslie Science & Nature Center",931
"Ann Arbor, MI", "University of Michigan","Ann Arbor Municipal Airport (ARB)",735
"Ann Arbor, MI", "Ann Arbor Municipal Airport (ARB)","Matthaei Botanical Gardens",863
"Anniston-Oxford, AL", "Anniston Museum of Natural History","Reilly AHP Airport (historical)",535
"Anniston-Oxford, AL", "Mountain Longleaf National Wildlife Refuge","Jacksonville State University",1120
"Anniston-Oxford, AL", "Freedom Riders National Monument","Anniston Museum of Natural History",576
"Anniston-Oxford, AL", "Jacksonville State University","Reilly AHP Airport (historical)",736
"Anniston-Oxford, AL", "Reilly AHP Airport (historical)","Freedom Riders National Monument",860
"Appleton, WI", "High Cliff State Park","Appleton International Airport",1640
"Appleton, WI", "Bergstrom-Mahler Museum of Glass","UW-Oshkosh at Fox Cities",852
"Appleton, WI", "The History Museum at the Castle","High Cliff State Park",1257
"Appleton, WI", "UW-Oshkosh at Fox Cities","Appleton International Airport",822
"Appleton, WI", "Appleton International Airport","The History Museum at the Castle",1086
"Asheville, NC", "Biltmore","Asheville Regional Airport",1588
"Asheville, NC", "Southern Highland Craft Guild, Folk Art Center","UNC Asheville's NEMAC Engagement Site",760
"Asheville, NC", "The North Carolina Arboretum","Biltmore",1580
"Asheville, NC", "UNC Asheville's NEMAC Engagement Site","Asheville Regional Airport",1185
"Asheville, NC", "Asheville Regional Airport","The North Carolina Arboretum",1221
"Athens-Clarke County, GA", "Eagle Tavern Museum","Athens-Ben Epps Airport - AHN",1021
"Athens-Clarke County, GA", "The State Botanical Garden of Georgia","University of Georgia",921
"Athens-Clarke County, GA", "Sandy Creek Park","Eagle Tavern Museum",1303
"Athens-Clarke County, GA", "University of Georgia","Athens-Ben Epps Airport - AHN",699
"Athens-Clarke County, GA", "Athens-Ben Epps Airport - AHN","Sandy Creek Park",899
"Atlanta-Sandy Springs-Alpharetta, GA", "Sky Zone Trampoline Park","Morgan Falls Heliport",761
"Atlanta-Sandy Springs-Alpharetta, GA", "Chattahoochee Nature Center","The Art Institute of Atlanta",1181
"Atlanta-Sandy Springs-Alpharetta, GA", "Fowler Park","Sky Zone Trampoline Park",1221
"Atlanta-Sandy Springs-Alpharetta, GA", "The Art Institute of Atlanta","Morgan Falls Heliport",443
"Atlanta-Sandy Springs-Alpharetta, GA", "Morgan Falls Heliport","Fowler Park",1534
"Atlantic City-Hammonton, NJ", "Wharton State Forest","New Freedom Switching Station Heliport",2379
"Atlantic City-Hammonton, NJ", "Tomasello Winery","Grand Theatre: Home of the Road Company",1195
"Atlantic City-Hammonton, NJ", "Plagido's Winery","Wharton State Forest",1633
"Atlantic City-Hammonton, NJ", "Grand Theatre: Home of the Road Company","New Freedom Switching Station Heliport",717
"Atlantic City-Hammonton, NJ", "New Freedom Switching Station Heliport","Plagido's Winery",1369
"Auburn-Opelika, AL", "Chewacla State Park","Auburn University Regional Airport",966
"Auburn-Opelika, AL", "Kiesel Park","Auburn University",448
"Auburn-Opelika, AL", "Jonathan Bell Lovelace Museum","Chewacla State Park",1027
"Auburn-Opelika, AL", "Auburn University","Auburn University Regional Airport",734
"Auburn-Opelika, AL", "Auburn University Regional Airport","Jonathan Bell Lovelace Museum",818
"Augusta-Richmond County, GA-SC", "Butt Memorial Bridge","Augusta Regional Airport",955
"Augusta-Richmond County, GA-SC", "Blanchard Woods Park","Georgia Regents University - Graduate Medical Education Office - Health Sciences Campus",1787
"Augusta-Richmond County, GA-SC", "Phinizy Swamp Nature Park","Butt Memorial Bridge",910
"Augusta-Richmond County, GA-SC", "Georgia Regents University - Graduate Medical Education Office - Health Sciences Campus","Augusta Regional Airport",1037
"Augusta-Richmond County, GA-SC", "Augusta Regional Airport","Phinizy Swamp Nature Park",97
"Austin-Round Rock-Georgetown, TX", "Old Settlers Park","Georgetown Executive Airport",1342
"Austin-Round Rock-Georgetown, TX", "Inner Space Cavern","Southwestern University",589
"Austin-Round Rock-Georgetown, TX", "Berry Springs Park and Preserve","Old Settlers Park",1189
"Austin-Round Rock-Georgetown, TX", "Southwestern University","Georgetown Executive Airport",670
"Austin-Round Rock-Georgetown, TX", "Georgetown Executive Airport","Berry Springs Park and Preserve",507
"Bakersfield, CA", "Kern County Museum","Meadows Field Airport",806
"Bakersfield, CA", "California Living Museum","Bakersfield College",821
"Bakersfield, CA", "Beale Park","Kern County Museum",614
"Bakersfield, CA", "Bakersfield College","Meadows Field Airport",881
"Bakersfield, CA", "Meadows Field Airport","Beale Park",960
"Baltimore-Columbia-Towson, MD", "The Biltmore Hotel","Martin State Airport",1909
"Baltimore-Columbia-Towson, MD", "Oriole Park at Camden Yards","University of Maryland, Baltimore County",826
"Baltimore-Columbia-Towson, MD", "National Aquarium","The Biltmore Hotel",559
"Baltimore-Columbia-Towson, MD", "University of Maryland, Baltimore County","Martin State Airport",2029
"Baltimore-Columbia-Towson, MD", "Martin State Airport","National Aquarium",1654
"Bangor, ME", "Maine Discovery Museum","Lucky Landing Marina and Seaplane Base",984
"Bangor, ME", "Cole Land Transportation Museum","Husson University",720
"Bangor, ME", "Hampden Historical Society","Maine Discovery Museum",758
"Bangor, ME", "Husson University","Lucky Landing Marina and Seaplane Base",679
"Bangor, ME", "Lucky Landing Marina and Seaplane Base","Hampden Historical Society",1473
"Barnstable Town, MA", "Sandwich Glass Museum","Cape Cod Gateway Airport",1411
"Barnstable Town, MA", "Cape Cod Beer","Cape Cod Community College - ACCCESS Program",528
"Barnstable Town, MA", "St. Francis Xavier Parish","Sandwich Glass Museum",1449
"Barnstable Town, MA", "Cape Cod Community College - ACCCESS Program","Cape Cod Gateway Airport",393
"Barnstable Town, MA", "Cape Cod Gateway Airport","St. Francis Xavier Parish",393
"Baton Rouge, LA", "BREC's Baton Rouge Zoo","Baton Rouge Metropolitan Airport",489
"Baton Rouge, LA", "USS KIDD Veterans Museum","Louisiana State University",632
"Baton Rouge, LA", "Louisiana Art & Science Museum","BREC's Baton Rouge Zoo",954
"Baton Rouge, LA", "Louisiana State University","Baton Rouge Metropolitan Airport",1105
"Baton Rouge, LA", "Baton Rouge Metropolitan Airport","Louisiana Art & Science Museum",789
"Battle Creek, MI", "Binder Park Zoo","Battle Creek Executive Airport at Kellogg Field",1026
"Battle Creek, MI", "Fort Custer Recreation Area","Kellogg Community College",1425
"Battle Creek, MI", "Art Center of Battle Creek","Binder Park Zoo",975
"Battle Creek, MI", "Kellogg Community College","Battle Creek Executive Airport at Kellogg Field",782
"Battle Creek, MI", "Battle Creek Executive Airport at Kellogg Field","Art Center of Battle Creek",787
"Bay City, MI", "Haithco Park","MBS International Airport (MBS)",1331
"Bay City, MI", "Delta College Planetarium","Saginaw Valley State University",863
"Bay City, MI", "Bay City State Park","Haithco Park",1308
"Bay City, MI", "Saginaw Valley State University","MBS International Airport (MBS)",940
"Bay City, MI", "MBS International Airport (MBS)","Bay City State Park",1381
"Beaumont-Port Arthur, TX", "Port Arthur Parks & Recreation","Jack Brooks Regional Airport",902
"Beaumont-Port Arthur, TX", "Walter Umphrey Park","Lamar State College - Port Arthur",974
"Beaumont-Port Arthur, TX", "Lower Neches WMA","Port Arthur Parks & Recreation",845
"Beaumont-Port Arthur, TX", "Lamar State College - Port Arthur","Jack Brooks Regional Airport",987
"Beaumont-Port Arthur, TX", "Jack Brooks Regional Airport","Lower Neches WMA",978
"Beckley, WV", "New River Gorge National Park & Preserve","Raleigh County Memorial Airport",2355
"Beckley, WV", "Little Beaver State Park","WVU Tech",1128
"Beckley, WV", "Raleigh County Veteran's Inc","New River Gorge National Park & Preserve",2211
"Beckley, WV", "WVU Tech","Raleigh County Memorial Airport",776
"Beckley, WV", "Raleigh County Memorial Airport","Raleigh County Veteran's Inc",926
"Bellingham, WA", "Whatcom Falls Park","Bellingham International Airport",1005
"Bellingham, WA", "Larrabee State Park","Western Washington University",1304
"Bellingham, WA", "Whatcom Museum","Whatcom Falls Park",696
"Bellingham, WA", "Western Washington University","Bellingham International Airport",1148
"Bellingham, WA", "Bellingham International Airport","Whatcom Museum",754
"Bend, OR", "High Desert Museum","Saint Charles Medical Center Heliport",1149
"Bend, OR", "Lava Island Trailhead","Central Oregon Community College",1053
"Bend, OR", "Downtown Bend Business Association","High Desert Museum",786
"Bend, OR", "Central Oregon Community College","Saint Charles Medical Center Heliport",849
"Bend, OR", "Saint Charles Medical Center Heliport","Downtown Bend Business Association",776
"Billings, MT", "Pictograph Cave State Park","Terminal",1224
"Billings, MT", "Museum of Women's History","Montana State University Billings",353
"Billings, MT", "Walsh Park","Pictograph Cave State Park",1171
"Billings, MT", "Montana State University Billings","Terminal",305
"Billings, MT", "Terminal","Walsh Park",641
"Binghamton, NY", "Recreation Park","Greater Binghamton Airport",1032
"Binghamton, NY", "Kopernik Observatory & Science Center","Binghamton University",1098
"Binghamton, NY", "The Discovery Center of the Southern Tier","Recreation Park",648
"Binghamton, NY", "Binghamton University","Greater Binghamton Airport",1023
"Binghamton, NY", "Greater Binghamton Airport","The Discovery Center of the Southern Tier",1434
"Birmingham-Hoover, AL", "Birmingham Botanical Gardens","Birmingham-Shuttlesworth International Airport",975
"Birmingham-Hoover, AL", "Oak Mountain State Park","UAB",1715
"Birmingham-Hoover, AL", "Birmingham Museum of Art","Birmingham Botanical Gardens",532
"Birmingham-Hoover, AL", "UAB","Birmingham-Shuttlesworth International Airport",779
"Birmingham-Hoover, AL", "Birmingham-Shuttlesworth International Airport","Birmingham Museum of Art",559
"Bismarck, ND", "Raging Rivers Waterpark","Bismarck Airport",674
"Bismarck, ND", "Fort Abraham Lincoln State Park","University of Mary",1891
"Bismarck, ND", "T R Roughrider Hall of Fame","Raging Rivers Waterpark",574
"Bismarck, ND", "University of Mary","Bismarck Airport",463
"Bismarck, ND", "Bismarck Airport","T R Roughrider Hall of Fame",724
"Blacksburg-Christiansburg, VA", "Blacksburg Municipal Park","Virginia Tech Montgomery Executive Airport",706
"Blacksburg-Christiansburg, VA", "Perspective Gallery","Radford University",1699
"Blacksburg-Christiansburg, VA", "Depot Park","Blacksburg Municipal Park",963
"Blacksburg-Christiansburg, VA", "Radford University","Virginia Tech Montgomery Executive Airport",1380
"Blacksburg-Christiansburg, VA", "Virginia Tech Montgomery Executive Airport","Depot Park",597
"Bloomington, IL", "Miller Park Zoo","Central Illinois Regional Airport at Bloomington-Normal",985
"Bloomington, IL", "Fairview Park","Illinois State University",289
"Bloomington, IL", "Children's Discovery Museum","Miller Park Zoo",739
"Bloomington, IL", "Illinois State University","Central Illinois Regional Airport at Bloomington-Normal",1008
"Bloomington, IL", "Central Illinois Regional Airport at Bloomington-Normal","Children's Discovery Museum",943
"Bloomington, IN", "Oliver Winery","Monroe County Airport",1041
"Bloomington, IN", "Yellowwood State Forest","Indiana University Bloomington",1736
"Bloomington, IN", "Butler Winery and Vineyards","Oliver Winery",691
"Bloomington, IN", "Indiana University Bloomington","Monroe County Airport",1026
"Bloomington, IN", "Monroe County Airport","Butler Winery and Vineyards",1494
"Bloomsburg-Berwick, PA", "Knoebel 's Covered Bridge","Life Flight Hangar",1377
"Bloomsburg-Berwick, PA", "Knoebels Amusement Resort","Bloomsburg University Of Pennsylvania",1412
"Bloomsburg-Berwick, PA", "Rolling Hills Red Deer Farm","Knoebel 's Covered Bridge",750
"Bloomsburg-Berwick, PA", "Bloomsburg University Of Pennsylvania","Life Flight Hangar",1146
"Bloomsburg-Berwick, PA", "Life Flight Hangar","Rolling Hills Red Deer Farm",1060
"Boise City, ID", "Old Idaho Penitentiary Site","Boise Airport",1006
"Boise City, ID", "Zoo Boise","Boise State University",312
"Boise City, ID", "The Peregrine Fund's World Center For Birds of Prey","Old Idaho Penitentiary Site",1691
"Boise City, ID", "Boise State University","Boise Airport",670
"Boise City, ID", "Boise Airport","The Peregrine Fund's World Center For Birds of Prey",985
"Boston-Cambridge-Newton, MA-NH", "Fenway Park","Boston Logan International Airport",1005
"Boston-Cambridge-Newton, MA-NH", "Isabella Stewart Gardner Museum","Harvard University",793
"Boston-Cambridge-Newton, MA-NH", "Boston Children's Museum","Fenway Park",709
"Boston-Cambridge-Newton, MA-NH", "Harvard University","Boston Logan International Airport",1210
"Boston-Cambridge-Newton, MA-NH", "Boston Logan International Airport","Boston Children's Museum",596
"Boulder, CO", "NCAR Mesa Laboratory","Boulder Municipal Airport",1048
"Boulder, CO", "Celestial Seasonings","University of Colorado Boulder",993
"Boulder, CO", "Valmont Bike Park","NCAR Mesa Laboratory",879
"Boulder, CO", "University of Colorado Boulder","Boulder Municipal Airport",755
"Boulder, CO", "Boulder Municipal Airport","Valmont Bike Park",160
"Bowling Green, KY", "Lost River Cave","Bowling Green-Woodhurst Airport",835
"Bowling Green, KY", "National Corvette Museum","Ross Medical Education Center",923
"Bowling Green, KY", "Beech Bend","Lost River Cave",1050
"Bowling Green, KY", "Ross Medical Education Center","Bowling Green-Woodhurst Airport",595
"Bowling Green, KY", "Bowling Green-Woodhurst Airport","Beech Bend",992
"Bremerton-Silverdale-Port Orchard, WA", "Lincoln Park","Bremerton National Airport",4166
"Bremerton-Silverdale-Port Orchard, WA", "IslandWood","Olympic College",3078
"Bremerton-Silverdale-Port Orchard, WA", "Manchester State Park","Lincoln Park",3813
"Bremerton-Silverdale-Port Orchard, WA", "Olympic College","Bremerton National Airport",1126
"Bremerton-Silverdale-Port Orchard, WA", "Bremerton National Airport","Manchester State Park",1621
"Bridgeport-Stamford-Norwalk, CT", "Penfield Reef Lighthouse","Sikorsky Memorial Airport",1139
"Bridgeport-Stamford-Norwalk, CT", "Sherwood Island State Park","Sacred Heart University",1429
"Bridgeport-Stamford-Norwalk, CT", "Indian Ledge Park","Penfield Reef Lighthouse",1466
"Bridgeport-Stamford-Norwalk, CT", "Sacred Heart University","Sikorsky Memorial Airport",1169
"Bridgeport-Stamford-Norwalk, CT", "Sikorsky Memorial Airport","Indian Ledge Park",1304
"Brownsville-Harlingen, TX", "La Paloma County Park","Valley International Airport",1456
"Brownsville-Harlingen, TX", "El Ranchito County Park","Texas State Technical College Harlingen",1628
"Brownsville-Harlingen, TX", "McKelvey Park","La Paloma County Park",1202
"Brownsville-Harlingen, TX", "Texas State Technical College Harlingen","Valley International Airport",200
"Brownsville-Harlingen, TX", "Valley International Airport","McKelvey Park",663
"Brunswick, GA", "Arthur J Moore Methodist Museum","Brunswick Golden Isles Airport",1280
"Brunswick, GA", "Fort Frederica National Monument","Paxen Group",1399
"Brunswick, GA", "St. Simons Island Lighthouse Museum","Arthur J Moore Methodist Museum",549
"Brunswick, GA", "Paxen Group","Brunswick Golden Isles Airport",1081
"Brunswick, GA", "Brunswick Golden Isles Airport","St. Simons Island Lighthouse Museum",1487
"Buffalo-Cheektowaga, NY", "The Buffalo Zoo","Buffalo Niagara International Airport",1152
"Buffalo-Cheektowaga, NY", "Buffalo Museum of Science","University at Buffalo (North Campus)",1036
"Buffalo-Cheektowaga, NY", "Buffalo AKG Art Museum","The Buffalo Zoo",347
"Buffalo-Cheektowaga, NY", "University at Buffalo (North Campus)","Buffalo Niagara International Airport",1022
"Buffalo-Cheektowaga, NY", "Buffalo Niagara International Airport","Buffalo AKG Art Museum",1142
"Burlington, NC", "Cedarock Park","Burlington Alamance Regional Airport",771
"Burlington, NC", "Burlington Springwood Park","Elon University",688
"Burlington, NC", "Children's Museum of Alamance County","Cedarock Park",936
"Burlington, NC", "Elon University","Burlington Alamance Regional Airport",824
"Burlington, NC", "Burlington Alamance Regional Airport","Children's Museum of Alamance County",543
"Burlington-South Burlington, VT", "Reverence (Whales Tails)","Burlington International Airport",668
"Burlington-South Burlington, VT", "Champlain Valley Exposition","University of Vermont",773
"Burlington-South Burlington, VT", "Burlington City Arts @ The BCA Center","Reverence (Whales Tails)",820
"Burlington-South Burlington, VT", "University of Vermont","Burlington International Airport",753
"Burlington-South Burlington, VT", "Burlington International Airport","Burlington City Arts @ The BCA Center",757
"California-Lexington Park, MD", "Calvert Cliffs State Park","St Mary's County Regional-2W6",1007
"California-Lexington Park, MD", "Annmarie Sculpture Garden & Arts Center","St. Mary's College of Maryland",1725
"California-Lexington Park, MD", "Flag Ponds Nature Park","Calvert Cliffs State Park",653
"California-Lexington Park, MD", "St. Mary's College of Maryland","St Mary's County Regional-2W6",1424
"California-Lexington Park, MD", "St Mary's County Regional-2W6","Flag Ponds Nature Park",1311
"Canton-Massillon, OH", "Pro Football Hall of Fame","Akron-Canton Airport",760
"Canton-Massillon, OH", "MAPS Air Museum","Kent State University at Stark",770
"Canton-Massillon, OH", "McKinley Presidential Library & Museum","Pro Football Hall of Fame",482
"Canton-Massillon, OH", "Kent State University at Stark","Akron-Canton Airport",654
"Canton-Massillon, OH", "Akron-Canton Airport","McKinley Presidential Library & Museum",802
"Cape Coral-Fort Myers, FL", "Fleamasters Fleamarket","Southwest Florida International Airport",1174
"Cape Coral-Fort Myers, FL", "Edison & Ford Winter Estates","Florida Gulf Coast University",1776
"Cape Coral-Fort Myers, FL", "Estero Bay Aquatic Preserve","Fleamasters Fleamarket",1944
"Cape Coral-Fort Myers, FL", "Florida Gulf Coast University","Southwest Florida International Airport",1268
"Cape Coral-Fort Myers, FL", "Southwest Florida International Airport","Estero Bay Aquatic Preserve",1800
"Cape Girardeau, MO-IL", "Bill Emerson Memorial Bridge","Cape Girardeau Regional Airport",684
"Cape Girardeau, MO-IL", "Cape Safari Park","Southeast Missouri State University",915
"Cape Girardeau, MO-IL", "Cape Girardeau Conservation Nature Center","Bill Emerson Memorial Bridge",819
"Cape Girardeau, MO-IL", "Southeast Missouri State University","Cape Girardeau Regional Airport",953
"Cape Girardeau, MO-IL", "Cape Girardeau Regional Airport","Cape Girardeau Conservation Nature Center",749
"Carbondale-Marion, IL", "Giant City State Park","Southern Illinois Airport",1588
"Carbondale-Marion, IL", "Panther Den Wilderness","Southern Illinois University",2032
"Carbondale-Marion, IL", "Old Train Depot","Giant City State Park",1068
"Carbondale-Marion, IL", "Southern Illinois University","Southern Illinois Airport",894
"Carbondale-Marion, IL", "Southern Illinois Airport","Old Train Depot",687
"Carson City, NV", "Diamond Peak Ski Resort","Carson City Airport",2529
"Carson City, NV", "Sand Harbor","University of Nevada, Reno at Lake Tahoe",515
"Carson City, NV", "Mt. Rose - Ski Tahoe","Diamond Peak Ski Resort",979
"Carson City, NV", "University of Nevada, Reno at Lake Tahoe","Carson City Airport",2378
"Carson City, NV", "Carson City Airport","Mt. Rose - Ski Tahoe",2598
"Casper, WY", "Amoco Park","Casper-Natrona County International Airport",857
"Casper, WY", "Healing Park on Conwell","Casper College",428
"Casper, WY", "Adams Park","Amoco Park",565
"Casper, WY", "Casper College","Casper-Natrona County International Airport",1169
"Casper, WY", "Casper-Natrona County International Airport","Adams Park",1061
"Cedar Rapids, IA", "Cedar Ridge Distillery","Eastern Iowa Airport (CID)",617
"Cedar Rapids, IA", "Brucemore","Coe College",252
"Cedar Rapids, IA", "National Czech & Slovak Museum & Library","Cedar Ridge Distillery",804
"Cedar Rapids, IA", "Coe College","Eastern Iowa Airport (CID)",870
"Cedar Rapids, IA", "Eastern Iowa Airport (CID)","National Czech & Slovak Museum & Library",847
"Chambersburg-Waynesboro, PA", "Caledonia State Park","Franklin County Regional Airport",1420
"Chambersburg-Waynesboro, PA", "Lifting Spirits Paranormal Society","Wilson College",344
"Chambersburg-Waynesboro, PA", "Chambersburg Heritage Center & Gift Shop","Caledonia State Park",1304
"Chambersburg-Waynesboro, PA", "Wilson College","Franklin County Regional Airport",312
"Chambersburg-Waynesboro, PA", "Franklin County Regional Airport","Chambersburg Heritage Center & Gift Shop",602
"Champaign-Urbana, IL", "Spurlock Museum","Willard Airport",859
"Champaign-Urbana, IL", "University of Illinois Arboretum","Gies College of Business",273
"Champaign-Urbana, IL", "Hessel Park","Spurlock Museum",495
"Champaign-Urbana, IL", "Gies College of Business","Willard Airport",783
"Champaign-Urbana, IL", "Willard Airport","Hessel Park",733
"Charleston, WV", "Parks and Recreation","West Virginia International Yeager Airport",446
"Charleston, WV", "West Virginia State Museum","University of Charleston",488
"Charleston, WV", "Capitol Market","Parks and Recreation",333
"Charleston, WV", "University of Charleston","West Virginia International Yeager Airport",740
"Charleston, WV", "West Virginia International Yeager Airport","Capitol Market",353
"Charleston-North Charleston, SC", "Magnolia Plantation and Gardens","Charleston International Airport",1978
"Charleston-North Charleston, SC", "Middleton Place","Charleston Southern University",1825
"Charleston-North Charleston, SC", "Drayton Hall","Magnolia Plantation and Gardens",379
"Charleston-North Charleston, SC", "Charleston Southern University","Charleston International Airport",1416
"Charleston-North Charleston, SC", "Charleston International Airport","Drayton Hall",1788
"Charlotte-Concord-Gastonia, NC-SC", "Discovery Place Science","Charlotte-Monroe Executive Airport",2547
"Charlotte-Concord-Gastonia, NC-SC", "McAlpine Creek Park","Central Piedmont Community College - Levine Campus",919
"Charlotte-Concord-Gastonia, NC-SC", "The Mint Museum – Randolph","Discovery Place Science",717
"Charlotte-Concord-Gastonia, NC-SC", "Central Piedmont Community College - Levine Campus","Charlotte-Monroe Executive Airport",1077
"Charlotte-Concord-Gastonia, NC-SC", "Charlotte-Monroe Executive Airport","The Mint Museum – Randolph",2307
"Charlottesville, VA", "Monticello","Charlottesville–Albemarle Airport",2148
"Charlottesville, VA", "Michie Tavern ca. 1784","University of Virginia",972
"Charlottesville, VA", "The Rotunda","Monticello",1066
"Charlottesville, VA", "University of Virginia","Charlottesville–Albemarle Airport",1355
"Charlottesville, VA", "Charlottesville–Albemarle Airport","The Rotunda",1211
"Chattanooga, TN-GA", "Ruby Falls","Chattanooga Metropolitan Airport",1485
"Chattanooga, TN-GA", "Rock City Gardens","Covenant College",465
"Chattanooga, TN-GA", "Tennessee Aquarium","Ruby Falls",735
"Chattanooga, TN-GA", "Covenant College","Chattanooga Metropolitan Airport",1918
"Chattanooga, TN-GA", "Chattanooga Metropolitan Airport","Tennessee Aquarium",1066
"Cheyenne, WY", "Nelson Museum of the West","Cheyenne Regional Airport",363
"Cheyenne, WY", "Brimmer Park","Laramie County Community College",592
"Cheyenne, WY", "Paul Smith Children's Village at the Cheyenne Botanic Gardens","Nelson Museum of the West",560
"Cheyenne, WY", "Laramie County Community College","Cheyenne Regional Airport",812
"Cheyenne, WY", "Cheyenne Regional Airport","Paul Smith Children's Village at the Cheyenne Botanic Gardens",586
"Chicago-Naperville-Elgin, IL-IN-WI", "Riggs County Park","J & L Aviation Airport-WS46",653
"Chicago-Naperville-Elgin, IL-IN-WI", "Dartford Historical Society","Ripon College",721
"Chicago-Naperville-Elgin, IL-IN-WI", "Waupun Truck-N-Show","Riggs County Park",1242
"Chicago-Naperville-Elgin, IL-IN-WI", "Ripon College","J & L Aviation Airport-WS46",418
"Chicago-Naperville-Elgin, IL-IN-WI", "J & L Aviation Airport-WS46","Waupun Truck-N-Show",1612
"Chico, CA", "Honey Run Covered Bridge & Park","Chico Regional Airport",1229
"Chico, CA", "Downtown Chico Business Association","Butte College",1218
